measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Typhoid fever,Number,1982,214491.88908862387,367403.12490286434,104285.78022361067
Deaths,Global,Both,All ages,Meningitis,Number,1982,433128.0408422712,499781.1386429125,381614.393306723
Deaths,Global,Both,All ages,Diphtheria,Number,1982,53859.236372596715,73935.11313691754,39236.06557332926
Deaths,Global,Both,All ages,Tetanus,Number,1982,474846.5033092151,677719.7657910314,320492.31485120195
Deaths,Global,Both,All ages,Cervical cancer,Number,1987,207082.80481737686,225805.4249283577,191867.62537783253
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1994,51912.72293494681,66335.91298176895,38606.404047525604
Deaths,Global,Both,All ages,Malaria,Number,1994,765749.8930483352,1479216.413004125,374819.6138467549
Deaths,Global,Both,All ages,Dengue,Number,1994,15329.787135806757,18478.31648657977,12526.990390926823
Deaths,Global,Both,All ages,Yellow fever,Number,1994,11251.615441533913,24220.82676488554,4256.850917933901
Deaths,Global,Both,All ages,Rabies,Number,1994,21825.19189271734,28452.24672167817,15571.399783458575
Deaths,Global,Both,All ages,Cervical cancer,Number,1997,221778.20001962708,237941.4872368769,207876.33222965722
Deaths,Global,Both,All ages,Cervical cancer,Number,1991,212239.1618041756,229239.46884294774,197960.29954819847
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1997,51760.016919189555,65850.88504409352,39987.88793008144
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1991,52051.08490641106,67853.82849212435,36536.30365282754
Deaths,Global,Both,All ages,Malaria,Number,1991,742517.0117651136,1492345.7682031025,360756.07874539925
Deaths,Global,Both,All ages,Dengue,Number,1991,14843.40296713999,18917.344607339044,11637.220236811125
Deaths,Global,Both,All ages,Yellow fever,Number,1991,12658.819101334017,27405.524065021913,5063.979750085821
Deaths,Global,Both,All ages,Rabies,Number,1991,21746.230616223933,28209.502319022962,15430.824683057606
Deaths,Global,Both,All ages,Tuberculosis,Number,1986,1793537.9858957839,2027596.2070589308,1503727.0304815788
Deaths,Global,Both,All ages,Typhoid fever,Number,1986,201929.89480031718,342740.7523840235,97898.52360678595
Deaths,Global,Both,All ages,Meningitis,Number,1986,426372.3130259985,490534.574432603,375930.9589820552
Deaths,Global,Both,All ages,Diphtheria,Number,1986,42335.32441651401,57298.40132293579,31944.23482520273
Deaths,Global,Both,All ages,Tetanus,Number,1986,351541.28071768733,490095.9851750137,229876.15866933737
Deaths,Global,Both,All ages,Cervical cancer,Number,1995,219051.75116398433,233226.9551418164,205849.8670654279
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1987,52780.8807894249,70728.05110458026,34644.84609023557
Deaths,Global,Both,All ages,Malaria,Number,1987,702167.5485999029,1404607.0117204653,333646.5478777918
Deaths,Global,Both,All ages,Dengue,Number,1987,13669.520166486214,19361.86527873182,9884.586863423172
Deaths,Global,Both,All ages,Yellow fever,Number,1987,13914.289533252693,29739.35945762877,5329.171163901998
Deaths,Global,Both,All ages,Rabies,Number,1987,22053.384541234507,29028.54936364142,15562.821371372733
Deaths,Global,Both,All ages,Malaria,Number,1997,819461.026637441,1486962.3740366297,407105.61712672474
Deaths,Global,Both,All ages,Dengue,Number,1997,16344.623734077897,19412.63413410535,13564.103994996836
Deaths,Global,Both,All ages,Yellow fever,Number,1997,10214.396221145686,22418.578723968883,3993.476430979712
Deaths,Global,Both,All ages,Rabies,Number,1997,20933.17387854351,27004.10452113698,14914.977881830773
Deaths,Global,Both,All ages,Tuberculosis,Number,1988,1788411.9987811388,2015318.4546735086,1528118.4633093756
Deaths,Global,Both,All ages,Typhoid fever,Number,1988,195273.85033974034,335056.7541606379,97458.36546106916
Deaths,Global,Both,All ages,Meningitis,Number,1988,424895.43954813207,488148.5902025111,376002.2190756483
Deaths,Global,Both,All ages,Diphtheria,Number,1988,33421.299774429615,44669.54064068357,25246.762011870313
Deaths,Global,Both,All ages,Tetanus,Number,1988,274034.00670012,366460.27046354127,170220.75208991033
Deaths,Global,Both,All ages,Malaria,Number,1989,713400.5583986441,1426418.5137430688,342755.13690053276
Deaths,Global,Both,All ages,Dengue,Number,1989,14333.547275669334,19209.919176399413,10844.19181045028
Deaths,Global,Both,All ages,Yellow fever,Number,1989,13759.698399186005,29554.325471337936,5404.567538720806
Deaths,Global,Both,All ages,Rabies,Number,1989,21992.989665149915,28490.506184845068,15566.59684983768
Deaths,Global,Both,All ages,Cervical cancer,Number,1998,223110.46854354494,237526.91428288652,209865.58821520107
Deaths,Global,Both,All ages,Cervical cancer,Number,2000,225598.75774128022,238952.9060671287,212573.1028741438
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1995,51999.641992561556,66369.38634803965,38887.97515851025
Deaths,Global,Both,All ages,Malaria,Number,1995,779333.7300675409,1427311.7233896165,387897.40919233
Deaths,Global,Both,All ages,Dengue,Number,1995,15711.914593941347,18710.42101691208,13092.484888666835
Deaths,Global,Both,All ages,Yellow fever,Number,1995,12107.14885062266,25629.26188236839,4629.927955848683
Deaths,Global,Both,All ages,Rabies,Number,1995,22026.65597918232,28549.11232364172,15752.465792620214
Deaths,Global,Both,All ages,Cervical cancer,Number,2003,233197.67625869403,245780.92894280457,219151.2153637623
Deaths,Global,Both,All ages,Measles,Number,1982,799510.278117721,1616408.4682119559,296054.5737466792
Deaths,Global,Both,All ages,Tuberculosis,Number,1990,1778868.978166431,1980801.074848038,1532821.5114543643
Deaths,Global,Both,All ages,Typhoid fever,Number,1990,189115.44052138788,318464.1727332389,92697.78102947993
Deaths,Global,Both,All ages,Meningitis,Number,1990,420141.0756353561,482318.2300392113,370817.37051327643
Deaths,Global,Both,All ages,Diphtheria,Number,1990,25446.390489407822,34380.552941335845,19391.0353339245
Deaths,Global,Both,All ages,Tetanus,Number,1990,205850.89877090958,264352.45723554096,124127.12683285441
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2000,51775.43573510573,65386.18638992604,40360.2864277963
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1998,51845.178048882655,66585.67048091642,40000.516854021465
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2003,46862.24604202609,57932.94467474666,37912.52967061308
Deaths,Global,Both,All ages,Tuberculosis,Number,1992,1775686.7445224957,1964792.4060261045,1557604.8938334077
Deaths,Global,Both,All ages,Typhoid fever,Number,1992,184721.29718916322,313746.6810190696,91460.04775860667
Deaths,Global,Both,All ages,Meningitis,Number,1992,418261.11305450485,479905.8360626656,370556.1305421656
Deaths,Global,Both,All ages,Diphtheria,Number,1992,20843.336341149767,28316.136500261306,15693.616496921108
Deaths,Global,Both,All ages,Tetanus,Number,1992,165139.7599006398,212840.5993929931,98883.02667773918
Deaths,Global,Both,All ages,Cervical cancer,Number,1999,224975.53204556587,239784.81833030778,211691.16594129993
